ticker;NomeEmpresa;RazaoSocial;Setor;SubSetor
CLSC6;CELESC;CENTRAIS ELETRICAS DE SANTA CATARINA S.A;Energia Elétrica;Energia Elétrica
CMET4;CAEMI;CAEMI MINERAÇÃO E METALURGIA S.A.;Outros;NA
CMIG3;CEMIG;CIA ENERG MINAS GERAIS - CEMIG;Energia Elétrica;Energia Elétrica
CMIG4;CEMIG;CIA ENERG MINAS GERAIS - CEMIG;Energia Elétrica;Energia Elétrica
CMIN3;CSNMINERACAO;CSN MINERAÇÃO S.A.;Mineração;Minerais Metálicos
CMMA4;CMA PARTICIPACOES SA;CMA PARTICIPAÇÕES SA;Outros;NA
CNFB4;CONFAB;CONFAB INDUSTRIAL SA;Siderurgia e Metalurgia;Artefatos de Ferro e Aço
CNTO3;GRUPO SBF;GRUPO SBF SA;Outros;Outros
COCE3;CIA ENERG CEARA - COELCE;CIA ENERG CEARA - COELCE;Energia Elétrica;Energia Elétrica
COCE5;CIA ENERG CEARA - COELCE;CIA ENERG CEARA - COELCE;Energia Elétrica;Energia Elétrica
COCE6;CIA ENERG CEARA - COELCE;CIA ENERG CEARA - COELCE;Energia Elétrica;Energia Elétrica
COGN3;COGNA;KROTON EDUCACIONAL S.A.;Diversos;Serviços Educacionais
CORR3;CORREA RIBEIRO SA COM. IND.;CORREA RIBEIRO SA COM IND;Exploração de Imóveis;Exploração de Imóveis
CORR4;CORREA RIBEIRO SA COM. IND.;CORREA RIBEIRO SA COM IND;Exploração de Imóveis;Exploração de Imóveis
CPFE3;CPFL ENERGIA S.A.;CPFL ENERGIA SA;Energia Elétrica;Energia Elétrica
CPFG3;CPFL GERAÇÂO DE ENERGIA S/A;CPFL GERAÇÃO DE ENERGIA S/A;Energia Elétrica;Energia Elétrica
CPFG4;CPFL GERAÇÂO DE ENERGIA S/A;CPFL GERAÇÃO DE ENERGIA S/A;Energia Elétrica;Energia Elétrica
CPFP4;CPFL - PIRATININGA;CIA PIRATININGA DE FORÇA E LUZ;Energia Elétrica;Energia Elétrica
CPLE11;COPEL;COMPANHIA PARANAENSE DE ENERGIA;Energia Elétrica;Energia Elétrica
CPLE3;COPEL;COMPANHIA PARANAENSE DE ENERGIA;Energia Elétrica;Energia Elétrica
CPLE5;COPEL;COMPANHIA PARANAENSE DE ENERGIA;Energia Elétrica;Energia Elétrica
CPLE6;COPEL;COMPANHIA PARANAENSE DE ENERGIA;Energia Elétrica;Energia Elétrica
CPNY3;COMPANY S/A;COMPANY SA;Construção Civil;Incorporações
CPRE3;CPFL RENOVAV;CPFL ENERGIAS RENOVÁVEIS S.A.;Energia Elétrica;Energia Elétrica
CPSL3;COPESUL;COPESUL - COMPANHIA PETROQUÍMICA DO SUL;Outros;NA
CRBM3;CARAÍBA METAIS S.A;CARAIBA METAIS SA;Outros;NA
CRBM7;CARAÍBA METAIS S.A;CARAIBA METAIS SA;Outros;NA
CRDE3;FICA;FICA EMPREENDIMENTOS IMOBILIÁRIOS S.A;Outros;Outros
CREM3;CREMER S.A.;CREMER SA;Medicamentos e Outros Produtos;Medicamentos e Outros Produtos
CREM4;CREMER S.A.;CREMER SA;Medicamentos e Outros Produtos;Medicamentos e Outros Produtos
CRFB3;CARREFOUR BR;ATACADÃO S.A.;Comércio e Distribuição;Alimentos
CRIV3;ALFA FINANCEIRA;FINANCEIRA ALFA S.A.- C.F.I;Intermediários Financeiros;Soc. Crédito e Financiamento
CRIV4;ALFA FINANCEIRA;FINANCEIRA ALFA S.A.- C.F.I;Intermediários Financeiros;Soc. Crédito e Financiamento
CRPG3;CRISTAL;TRONOX PIGMENTOS DO BRASIL S.A.;Químicos;Químicos Diversos
CRPG5;CRISTAL;TRONOX PIGMENTOS DO BRASIL S.A.;Químicos;Químicos Diversos
CRPG6;CRISTAL;TRONOX PIGMENTOS DO BRASIL S.A.;Químicos;Químicos Diversos
CRTP3;CELULAR CRT PARTICIPAÇÕES S/A;CELULAR CRT PARTICIPAÇÕES S.A.;Outros;NA
CRTP5;CELULAR CRT PARTICIPAÇÕES S/A;CELULAR CRT PARTICIPAÇÕES S.A.;Outros;NA
CRUZ3;SOUZA CRUZ;SOUZA CRUZ SA;Outros;NA
CSAB3;COMPANHIA DE SEGUROS ALIANÇA DA BAHIA;CIA SEGUROS ALIANCA BAHIA;Previdência e Seguros;Seguradoras
CSAB4;COMPANHIA DE SEGUROS ALIANÇA DA BAHIA;CIA SEGUROS ALIANCA BAHIA;Previdência e Seguros;Seguradoras
CSAN3;COSAN SA INDUSTRIA E COMERCIO;COSAN SA INDUSTRIA E COMERCIO;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição
CSED3;CRUZEIRO EDU;CRUZEIRO DO SUL EDUCACIONAL S.A.;Diversos;Serviços Educacionais
CSMG3;COPASA MG;COMPANHIA DE SANEAMENTO DE MINAS GERAIS;Água e Saneamento;Água e Saneamento
CSNA3;CSN;CIA SIDERURGICA NACIONAL;Siderurgia e Metalurgia;Siderurgia
CSPC3;COSIPA;COMPANHIA SIDERÚRGICA PAULISTA - COSIPA;Outros;NA
CSPC4;COSIPA;COMPANHIA SIDERÚRGICA PAULISTA - COSIPA;Outros;NA
CSRN3;COSERN;CIA ENERGÉTICA DO RIO GRANDE DO NORTE;Energia Elétrica;Energia Elétrica
CSRN5;COSERN;CIA ENERGÉTICA DO RIO GRANDE DO NORTE;Energia Elétrica;Energia Elétrica
CSRN6;COSERN;CIA ENERGÉTICA DO RIO GRANDE DO NORTE;Energia Elétrica;Energia Elétrica
CSTB3;COMPANHIA SIDERÚRGICA DE TUBARÃO;COMPANHIA SIDERÚRGICA DE TUBARÃO;Outros;NA
CSTB4;COMPANHIA SIDERÚRGICA DE TUBARÃO;COMPANHIA SIDERÚRGICA DE TUBARÃO;Outros;NA
CSUD3;CSU DIGITAL;CSU DIGITAL S.A.;Serviços Diversos;Serviços Diversos
CTIP3;CETIP;CETIP S.A. - BALCÃO ORGANIZADO DE ATIVOS;Serviços Financeiros Diversos;Serviços Financeiros Diversos
CTKA3;KARSTEN;KARSTEN SA;Tecidos, Vestuário e Calçados;Fios e Tecidos
CTKA4;KARSTEN;KARSTEN SA;Tecidos, Vestuário e Calçados;Fios e Tecidos
CTNM3;COTEMINAS;CIA TECIDOS NORTE DE MINAS - COTEMINAS;Tecidos, Vestuário e Calçados;Fios e Tecidos
CTNM4;COTEMINAS;CIA TECIDOS NORTE DE MINAS - COTEMINAS;Tecidos, Vestuário e Calçados;Fios e Tecidos
CTPC3;CTM CITRUS SA;CTM CITRUS SA;Alimentos Processados;Alimentos Diversos
CTPC4;CTM CITRUS SA;CTM CITRUS SA;Alimentos Processados;Alimentos Diversos
CTSA3;SANTANENSE;CIA TECIDOS SANTANENSE;Tecidos, Vestuário e Calçados;Fios e Tecidos
CTSA4;SANTANENSE;CIA TECIDOS SANTANENSE;Tecidos, Vestuário e Calçados;Fios e Tecidos
CTSA8;SANTANENSE;CIA TECIDOS SANTANENSE;Tecidos, Vestuário e Calçados;Fios e Tecidos
CTWR3;BLUE TREE HOTELS;BLUE TREE HOTELS & RESORTS DO BRASIL SA;Outros;NA
CURY3;CURY S/A;CURY CONSTRUTORA E INCORPORADORA S.A.;Construção Civil;Incorporações
CVCB3;CVC BRASIL;CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS S.A.;Viagens e Lazer;Viagens e Turismo
CXSE3;CAIXA SEGURI;CAIXA SEGURIDADE PARTICIPAÇÕES S.A.;Previdência e Seguros;Seguradoras
CYRE3;CYRELA BRAZIL REALTY;CYRELA BRAZIL REALTY S.A. EMPREEN E PART;Construção Civil;Incorporações
CYRE4;CYRELA BRAZIL REALTY;CYRELA BRAZIL REALTY S.A. EMPREEN E PART;Construção Civil;Incorporações
CZLT33;Cosan Ltd;COSAN LIMITED;Outros;NA
CZRS3;Cruzeiro Sul;BANCO CRUZEIRO DO SUL SA;Intermediários Financeiros;Bancos
CZRS4;Cruzeiro Sul;BANCO CRUZEIRO DO SUL SA;Intermediários Financeiros;Bancos
DAGB33;DUFRY AG;DUFRY A.G.;Comércio;Produtos Diversos
DASA3;DIAGNOSTICOS DA AMERICA SA;DIAGNOSTICOS DA AMERICA SA;Serv.Méd.Hospit. Análises e Diagnósticos;Serv.Méd.Hospit. Análises e Diagnósticos
DAYC3;Daycoval;BANCO DAYCOVAL S.A.;Intermediários Financeiros;Bancos
DAYC4;Daycoval;BANCO DAYCOVAL S.A.;Intermediários Financeiros;Bancos
DESK3;DESKTOPSIGMA;DESKTOP - SIGMANET COMUNICAÇÃO MULTIMÍDIA S.A.;Telecomunicações;Telecomunicações
DEXP3;DEXXOS PAR;DEXXOS PARTICIPACOES S.A.;Químicos;Petroquímicos
DEXP4;DEXXOS PAR;DEXXOS PARTICIPACOES S.A.;Químicos;Petroquímicos
DFVA3;D F VASCONCELLOS S/A O.M.A.P.;D F VASCONC SA OPT MEC A PREC;Outros;NA
DFVA4;D F VASCONCELLOS S/A O.M.A.P.;D F VASCONC SA OPT MEC A PREC;Outros;NA
DHBI3;DHB;DHB IND E COMERCIO SA;Material de Transporte;Material Rodoviário
DHBI4;DHB;DHB IND E COMERCIO SA;Material de Transporte;Material Rodoviário
DIRR3;Direcional Engenharia;DIRECIONAL ENGENHARIA S.A.;Construção Civil;Incorporações
DJON4;DIJON S/A;DIJON SA;Outros;NA
DMFN3;DMFINANCEIRA;DM FINANCEIRA S.A.;Intermediários Financeiros;Soc. Crédito e Financiamento
DMMO3;DOMMO;DOMMO ENERGIA S.A.;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição
DMVF3;D1000VFARMA;D1000 VAREJO FARMA PARTICIPAÇÕES S.A.;Comércio e Distribuição;Medicamentos e Outros Produtos
DOCA3;DOCAS S.A.;DOCAS INVESTIMENTOS SA;Outros;NA
DOCA4;DOCAS S.A.;DOCAS INVESTIMENTOS SA;Outros;NA
DOHL3;DOHLER;DOHLER S.A.;Tecidos, Vestuário e Calçados;Fios e Tecidos
DOHL4;DOHLER;DOHLER S.A.;Tecidos, Vestuário e Calçados;Fios e Tecidos
DOTZ3;DOTZ SA;DOTZ S.A.;Diversos;Programas de Fidelização
DPPI3;IPIRANGA DISTRIBUIDORA;DISTRIB PRODUTOS PETROLEO IPIRANGA S.A.;Outros;NA
DPPI4;IPIRANGA DISTRIBUIDORA;DISTRIB PRODUTOS PETROLEO IPIRANGA S.A.;Outros;NA
DSUL3;DATASUL;DATASUL S.A.;Programas e Serviços;Programas e Serviços
DTCY3;DTCOM;DTCOM - DIRECT TO COMPANY S.A.;Serviços Diversos;Serviços Diversos
DTEX3;DEXCO;DEXCO S.A.;Outros;Outros
DUFB11;DUFRY SOUTH AMERICA LTD.;DUFRY SOUTH AMERICA LTD.;Comércio;Produtos Diversos
DUQE3;METALURGICA DUQUE SA;METALURGICA DUQUE SA;Siderurgia e Metalurgia;Artefatos de Ferro e Aço
DUQE4;METALURGICA DUQUE SA;METALURGICA DUQUE SA;Siderurgia e Metalurgia;Artefatos de Ferro e Aço
DURA3;DURATEX;DURATEX SA;Madeira e Papel;Madeira
DURA4;DURATEX;DURATEX SA;Madeira e Papel;Madeira
DXCO3;DEXCO;DEXCO S.A.;Madeira e Papel;Madeira
DXTG4;DIXIE TOGA;DIXIE TOGA SA;Outros;NA
EALT3;ELECTRO AÇO ALTONA S/A;ELECTRO AÇO ALTONA S/A;Máquinas e Equipamentos;Máq. e Equip. Industriais
EALT4;ELECTRO AÇO ALTONA S/A;ELECTRO AÇO ALTONA S/A;Máquinas e Equipamentos;Máq. e Equip. Industriais
EBCO3;EMBRACO;EMP BRAS COMPRES SA - EMBRACO;Outros;NA
EBCO4;EMBRACO;EMP BRAS COMPRES SA - EMBRACO;Outros;NA
EBEN4;BANDEIRANTE;BANDEIRANTE ENERGIA S/A;Energia Elétrica;Energia Elétrica
EBTP3;EMBRATEL PARTICIPAÇÕES SA;EMBRATEL PARTICIPAÇÕES SA;Outros;NA
EBTP4;EMBRATEL PARTICIPAÇÕES SA;EMBRATEL PARTICIPAÇÕES SA;Outros;NA
ECIS3;ECISA;ECISA ENG COM E INDUSTRIA SA;Outros;NA
ECIS4;ECISA;ECISA ENG COM E INDUSTRIA SA;Outros;NA
ECOR3;ECORODOVIAS;ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.;Transporte;Exploração de Rodovias
ECPR3;ENCORPAR;EMP.NAC.C., RÉDITO E PART. S.A. ENCORPAR;Tecidos, Vestuário e Calçados;Fios e Tecidos
ECPR4;ENCORPAR;EMP.NAC.C., RÉDITO E PART. S.A. ENCORPAR;Tecidos, Vestuário e Calçados;Fios e Tecidos
EEEL3;CEEE;CIA ESTADUAL ENERG ELETR-CEEE;Energia Elétrica;Energia Elétrica
EEEL4;CEEE;CIA ESTADUAL ENERG ELETR-CEEE;Energia Elétrica;Energia Elétrica
EGIE3;ENGIE BRASIL;ENGIE BRASIL ENERGIA S.A.;Energia Elétrica;Energia Elétrica
EKTR3;ELEKTRO ELETRICIDADE E SERVIÇOS S.A.;ELEKTRO ELETRICIDADE E SERVIÇOS S.A.;Energia Elétrica;Energia Elétrica
EKTR4;ELEKTRO ELETRICIDADE E SERVIÇOS S.A.;ELEKTRO ELETRICIDADE E SERVIÇOS S.A.;Energia Elétrica;Energia Elétrica
ELCA3;REDE EMPRESAS DE ENERGIA ELÉTRICA S.A.;REDE EMPRESAS DE ENERGIA ELÉTRICA S.A.;Energia Elétrica;Energia Elétrica
ELCA4;REDE EMPRESAS DE ENERGIA ELÉTRICA S.A.;REDE EMPRESAS DE ENERGIA ELÉTRICA S.A.;Energia Elétrica;Energia Elétrica
ELEK3;ELEKEIROZ S/A;ELEKEIROZ S/A;Químicos;Petroquímicos
ELEK4;ELEKEIROZ S/A;ELEKEIROZ S/A;Químicos;Petroquímicos
ELET3;ELETROBRÁS;CENTRAIS ELET BRASILEIRAS SA;Energia Elétrica;Energia Elétrica
ELET5;ELETROBRÁS;CENTRAIS ELET BRASILEIRAS SA;Energia Elétrica;Energia Elétrica
ELET6;ELETROBRÁS;CENTRAIS ELET BRASILEIRAS SA;Energia Elétrica;Energia Elétrica
ELEV3;ELEVA;ELEVA ALIMENTOS S/A;Alimentos Processados;Carnes e Derivados
ELMD3;ELETROMIDIA;ELETROMIDIA S.A.;Mídia;Publicidade e Propaganda
ELPL3;AES ELETROPAULO;ELETROPAULO METROPOLITANA EL.S.PAULO S.A;Energia Elétrica;Energia Elétrica
ELPL4;AES ELETROPAULO;ELETROPAULO METROPOLITANA EL.S.PAULO S.A;Energia Elétrica;Energia Elétrica
ELPL5;AES ELETROPAULO;ELETROPAULO METROPOLITANA EL.S.PAULO S.A;Energia Elétrica;Energia Elétrica
ELPL6;AES ELETROPAULO;ELETROPAULO METROPOLITANA EL.S.PAULO S.A;Energia Elétrica;Energia Elétrica
ELUM3;ELUMA;ELUMA SA INDUSTRIA E COMERCIO;Outros;NA
ELUM4;ELUMA;ELUMA SA INDUSTRIA E COMERCIO;Outros;NA
EMAE4;EMAE;EMAE-EMP.METROPOLITANA ÁGUAS ENERGIA S.A;Energia Elétrica;Energia Elétrica
EMBR3;EMBRAER;EMBRAER EMP BRAS AERON SA;Material de Transporte;Material Aeronáutico e de Defesa
ENAT3;ENAUTA PART;ENAUTA PARTICIPAÇÕES S.A.;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição
ENBR3;EDP ENERGIAS DO BRASIL S/A;EDP ENERGIAS DO BRASIL S/A;Energia Elétrica;Energia Elétrica
ENER3;ENERSUL;EMPRESA ENERGÉTICA DE M.S. S.A.;Energia Elétrica;Energia Elétrica
ENER5;ENERSUL;EMPRESA ENERGÉTICA DE M.S. S.A.;Energia Elétrica;Energia Elétrica
ENER6;ENERSUL;EMPRESA ENERGÉTICA DE M.S. S.A.;Energia Elétrica;Energia Elétrica
ENEV3;ENEVA;ENEVA S.A;Energia Elétrica;Energia Elétrica
ENGI11;ENERGISA;ENERGISA SA;Energia Elétrica;Energia Elétrica
ENGI3;ENERGISA;ENERGISA SA;Energia Elétrica;Energia Elétrica
ENGI4;ENERGISA;ENERGISA SA;Energia Elétrica;Energia Elétrica
ENJU3;ENJOEI;ENJOEI.COM.BR ATIVIDADES DE INTERNET S.A.;Programas e Serviços;Programas e Serviços
ENMT3;ENERGISA MT;ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A;Energia Elétrica;Energia Elétrica
ENMT4;ENERGISA MT;ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A;Energia Elétrica;Energia Elétrica
EPAR3;EMBPAR S/A;EMBPAR PARTICIPACOES S.A.;Comércio;Material de Transporte
EPAR4;EMBPAR S/A;EMBPAR PARTICIPACOES S.A.;Comércio;Material de Transporte
EQMA3B;CEMAR;COMPANHIA ENERGÉTICA DO MARANHÃO CEMAR;Energia Elétrica;Energia Elétrica
EQMA5B;CEMAR;COMPANHIA ENERGÉTICA DO MARANHÃO CEMAR;Energia Elétrica;Energia Elétrica
EQMA6B;CEMAR;COMPANHIA ENERGÉTICA DO MARANHÃO CEMAR;Energia Elétrica;Energia Elétrica
EQPA3;EQTL PARA;EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.;Energia Elétrica;Energia Elétrica
EQPA5;EQTL PARA;EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.;Energia Elétrica;Energia Elétrica
EQPA6;EQTL PARA;EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.;Energia Elétrica;Energia Elétrica
EQPA7;EQTL PARA;EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.;Energia Elétrica;Energia Elétrica
EQTL3;EQUATORIAL ENERGIA S.A.;EQUATORIAL ENERGIA S.A.;Energia Elétrica;Energia Elétrica
ESCE3;ESCELSA;ESPIRITO SANTO CENTRAIS ELETRICAS SA;Energia Elétrica;Energia Elétrica
ESPA3;ESPACOLASER;MPM CORPÓREOS S.A.;Comércio;Produtos Diversos
ESTC11;YDUQS PART;ESTACIO PARTICIPACOES S.A.;Diversos;Serviços Educacionais
ESTC3;YDUQS PART;ESTACIO PARTICIPACOES S.A.;Outros;Outros
ESTC4;YDUQS PART;ESTACIO PARTICIPACOES S.A.;Diversos;Serviços Educacionais
ESTR3;ESTRELA;MANUFATURA DE BRINQUEDOS ESTRELA SA;Viagens e Lazer;Brinquedos e Jogos
ESTR4;ESTRELA;MANUFATURA DE BRINQUEDOS ESTRELA SA;Viagens e Lazer;Brinquedos e Jogos
ETER3;ETERNIT;ETERNIT SA;Construção e Engenharia;Produtos para Construção
ETER4;ETERNIT;ETERNIT SA;Construção e Engenharia;Produtos para Construção
EUCA3;EUCATEX;EUCATEX SA IND E COMERCIO;Madeira e Papel;Madeira
EUCA4;EUCATEX;EUCATEX SA IND E COMERCIO;Madeira e Papel;Madeira
EVEN3;Even;EVEN CONSTRUTORA E INCORPORADORA S/A;Construção Civil;Incorporações
EZTC3;EZTec;EZ TEC EMPREEND. E PARTICIPAÇÕES S/A;Construção Civil;Incorporações
FBMC3;FIBAM;FIBAM CIA INDUSTRIAL;Siderurgia e Metalurgia;Artefatos de Ferro e Aço
FBMC4;FIBAM;FIBAM CIA INDUSTRIAL;Siderurgia e Metalurgia;Artefatos de Ferro e Aço
FBRA4;FERTIBRÁS S/A;FERTIBRAS SA;Outros;NA
FCAP3;FICAP;SAM INDUSTRIAS SA;Outros;NA
FCAP4;FICAP;SAM INDUSTRIAS SA;Outros;NA
FESA3;FERBASA;CIA FERRO LIGAS BAHIA FERBASA;Siderurgia e Metalurgia;Siderurgia
FESA4;FERBASA;CIA FERRO LIGAS BAHIA FERBASA;Siderurgia e Metalurgia;Siderurgia
FFTL3;FOSFERTIL;FERTILIZANTES FOSFATADOS S.A. FOSFERTIL;Químicos;Fertilizantes e Defensivos
FFTL4;FOSFERTIL;FERTILIZANTES FOSFATADOS S.A. FOSFERTIL;Químicos;Fertilizantes e Defensivos
FGUI3;FERREIRA GUIMARAES;CIA TEXTIL FERREIRA GUIMARAES;Tecidos, Vestuário e Calçados;Fios e Tecidos
FGUI4;FERREIRA GUIMARAES;CIA TEXTIL FERREIRA GUIMARAES;Tecidos, Vestuário e Calçados;Fios e Tecidos
FHER3;Fer Heringer;FERTILIZANTES HERINGER SA;Químicos;Fertilizantes e Defensivos
FIBR3;Fibria;VOTORANTIM CELULOSE E PAPEL SA;Madeira e Papel;Papel e Celulose
FICT3;FICTORALIMEN;FICTOR ALIMENTOS S.A;Alimentos Processados;Carnes e Derivados
FIEI3;FICA;FICA EMPREENDIMENTOS IMOBILIÁRIOS S.A;Construção Civil;Incorporações
FIGE3;INVESTIMENTOS BEMGE;INVESTIMENTOS BEMGE S.A.;Outros;Outros
FIGE4;INVESTIMENTOS BEMGE;INVESTIMENTOS BEMGE S.A.;Outros;Outros
FIQE3;UNIFIQUE;UNIFIQUE TELECOMUNICAÇÕES S.A.;Telecomunicações;Telecomunicações
FJTA3;TAURUS ARMAS;TAURUS ARMAS S.A.;Outros;Outros
FJTA4;TAURUS ARMAS;TAURUS ARMAS S.A.;Outros;Outros
FLCL3;CATAG LEOPOLDINA;CIA FORÇA E LUZ CATAGUAZES-LEOPOLDINA;Outros;NA
FLCL5;CATAG LEOPOLDINA;CIA FORÇA E LUZ CATAGUAZES-LEOPOLDINA;Outros;NA
FLCL6;CATAG LEOPOLDINA;CIA FORÇA E LUZ CATAGUAZES-LEOPOLDINA;Outros;NA
FLRY3;FLEURY;FLEURY S.A.;Serv.Méd.Hospit. Análises e Diagnósticos;Serv.Méd.Hospit. Análises e Diagnósticos
FNCN3;DMFINANCEIRA;DM FINANCEIRA S.A.;Outros;Outros
FRAS3;FRAS-LE S.A.;FRAS-LE SA;Material de Transporte;Material Rodoviário
FRAS4;FRAS-LE S.A.;FRAS-LE SA;Material de Transporte;Material Rodoviário
FRIO3;Metalfrio;METALFRIO SOLUTIONS S/A;Máquinas e Equipamentos;Máq. e Equip. Industriais
FRTA3;POMIFRUTAS;POMIFRUTAS S/A;Agropecuária;Agricultura
FTRX3;FAB TECIDOS C RENAUX;FAB TECIDOS CARLOS RENAUX SA;Tecidos, Vestuário e Calçados;Fios e Tecidos
FTRX4;FAB TECIDOS C RENAUX;FAB TECIDOS CARLOS RENAUX SA;Tecidos, Vestuário e Calçados;Fios e Tecidos
GAFP3;CIMOB;CIMOB PARTICIPAÇÕES SA;Construção Civil;Incorporações
GAFP4;CIMOB;CIMOB PARTICIPAÇÕES SA;Construção Civil;Incorporações
GALO3;EMEEGE ESCAPAMENTOS;DE MAIO GALLO S.A IND. COM. PÇS P/ AUTOM;Outros;NA
GALO4;EMEEGE ESCAPAMENTOS;DE MAIO GALLO S.A IND. COM. PÇS P/ AUTOM;Outros;NA
GAZO3;GAZOLA SA INDÚSTRIA METALURGICA;GAZOLA SA INDÚSTRIA METALURGICA;Outros;NA
GAZO4;GAZOLA SA INDÚSTRIA METALURGICA;GAZOLA SA INDÚSTRIA METALURGICA;Outros;NA
GBIO33;BIOTOSCANA;BIOTOSCANA INVESTMENTS S.A.;Medicamentos e Outros Produtos;Medicamentos e Outros Produtos
GEPA3;DUKE ENERGY INT,GERAÇÃO PARANAPANEMA SA;DUKE ENERGY INT,GERAÇÃO PARANAPANEMA SA;Energia Elétrica;Energia Elétrica
GEPA4;DUKE ENERGY INT,GERAÇÃO PARANAPANEMA SA;DUKE ENERGY INT,GERAÇÃO PARANAPANEMA SA;Energia Elétrica;Energia Elétrica
GETI3;AES TIETE SA;AES TIETE SA;Energia Elétrica;Energia Elétrica
GETI4;AES TIETE SA;AES TIETE SA;Energia Elétrica;Energia Elétrica
GETT3;GETNET BR;GETNET ADQUIRENCIA E SERV PARA MEIOS DE PGTO S.A.;Serviços Financeiros Diversos;Serviços Financeiros Diversos
GETT4;GETNET BR;GETNET ADQUIRENCIA E SERV PARA MEIOS DE PGTO S.A.;Serviços Financeiros Diversos;Serviços Financeiros Diversos
GFSA3;GAFISA;GAFISA SA;Construção Civil;Incorporações
GGBR3;GERDAU S.A.;GERDAU SA;Siderurgia e Metalurgia;Siderurgia
GGBR4;GERDAU S.A.;GERDAU SA;Siderurgia e Metalurgia;Siderurgia
GGPS3;GPS;GPS PARTICIPACOES E EMPREENDIMENTOS S.A.;Serviços Diversos;Serviços Diversos
GLOB4;CASAS BAHIA;GRUPO CASAS BAHIA S.A.;Comércio;Eletrodomésticos
GMAT3;GRUPO MATEUS;GRUPO MATEUS S.A.;Comércio e Distribuição;Alimentos
GNDI3;INTERMEDICA;NOTRE DAME INTERMEDICA PARTICIPACOES SA;Serv.Méd.Hospit. Análises e Diagnósticos;Serv.Méd.Hospit. Análises e Diagnósticos
GOAU3;METALÚRGICA GERDAU;METALURGICA GERDAU SA;Siderurgia e Metalurgia;Siderurgia
GOAU4;METALÚRGICA GERDAU;METALURGICA GERDAU SA;Siderurgia e Metalurgia;Siderurgia
GOLL4;GOL LINHAS AEREAS INTELIGENTES SA;GOL LINHAS AEREAS INTELIGENTES SA;Transporte;Transporte Aéreo
GPAR3;CELGPAR;CIA CELG DE PARTICIPACOES - CELGPAR;Energia Elétrica;Energia Elétrica
GPCP3;DEXXOS PAR;DEXXOS PARTICIPACOES S.A.;Outros;Outros
GPIV33;GP INVESTMENTS, LTD;GP INVESTMENTS, LTD;Serviços Financeiros Diversos;Gestão de Recursos e Investimentos
GRND3;GRENDENE SA;GRENDENE SA;Tecidos, Vestuário e Calçados;Calçados
GRNL4;GRANÓLEO S/A;GRANOLEO SA CI SEMS OLEAGS DER;Outros;NA
GSHP3;Generalshopp;GENERAL SHOPPING BRASIL SA;Exploração de Imóveis;Exploração de Imóveis
GUAR3;GUARARAPES CONFECÇÕES;GUARARAPES CONFECÇÕES SA;Comércio;Tecidos, Vestuário e Calçados
GUAR4;GUARARAPES CONFECÇÕES;GUARARAPES CONFECÇÕES SA;Comércio;Tecidos, Vestuário e Calçados
GVTT3;GVT HOLDING;GVT (HOLDING) S.A.;Outros;NA
HAGA3;HAGA;FERRAGENS HAGA SA;Construção e Engenharia;Produtos para Construção
HAGA4;HAGA;FERRAGENS HAGA SA;Construção e Engenharia;Produtos para Construção
HAPV3;HAPVIDA;HAPVIDA PARTICIPACOES E INVESTIMENTOS SA;Serv.Méd.Hospit. Análises e Diagnósticos;Serv.Méd.Hospit. Análises e Diagnósticos
HBOR3;Helbor;HELBOR EMPREENDIMENTOS S/A;Construção Civil;Incorporações
HBRE3;HBR REALTY;HBR REALTY EMPREENDIMENTOS IMOBILIARIOS S/A;Exploração de Imóveis;Exploração de Imóveis
HBSA3;HIDROVIAS;HIDROVIAS DO BRASIL S.A.;Transporte;Transporte Hidroviário
HBTS5;CIA HABITASUL;COMPANHIIA HABITASUL DE PARTICIPAÇÕES;Exploração de Imóveis;Exploração de Imóveis
HETA3;HERCULES S/A;HERCULES S/A - FABRICA DE TALHERES;Utilidades Domésticas;Utensílios Domésticos
HETA4;HERCULES S/A;HERCULES S/A - FABRICA DE TALHERES;Utilidades Domésticas;Utensílios Domésticos
HGTX3;CIA HERING;CIA HERING;Tecidos, Vestuário e Calçados;Vestuário
HGTX4;CIA HERING;CIA HERING;Tecidos, Vestuário e Calçados;Vestuário
HOOT4;HOTEIS OTHON S.A.;HOTEIS OTHON SA;Hoteis e Restaurantes;Hotelaria
HRTP3;PETRORIO;PETRO RIO S.A.;Outros;Outros
HYPE3;HYPERA;HYPERA S.A.;Comércio e Distribuição;Medicamentos e Outros Produtos
ICPI3;CIMENTO ITAU CORUMBA;CIMENTO ITAU DE CORUMBA SA;Outros;NA
IDNT3;PADTEC;PADTEC HOLDING S.A.;Outros;Outros
